680.0	769.0
763.0	713.5
859.0	728.0
989.0	737.0
1099.5	725.5
1176.0	807.0
920.5	853.5
905.0	934.0
832.0	986.0
869.0	1000.0
907.0	998.0
947.0	1000.0
986.0	988.0
731.0	847.0
758.0	822.0
820.0	824.0
849.0	859.0
819.0	865.0
751.0	861.0
997.0	859.0
1025.0	834.0
1087.0	840.0
1114.0	864.0
1088.0	876.0
1021.0	875.0
791.0	1121.0
824.0	1084.0
877.0	1061.0
907.0	1063.0
924.0	1061.0
979.0	1083.0
1012.0	1129.0
991.0	1177.0
948.0	1214.0
894.0	1227.0
844.0	1211.0
812.0	1171.0
