635.0	728.0
712.0	696.5
812.0	723.0
957.0	707.0
1054.5	668.5
1153.0	694.0
894.5	794.5
884.0	1001.0
805.0	1000.0
853.0	1034.0
895.0	1044.0
949.0	1030.0
986.0	1002.0
683.0	794.0
710.0	765.0
783.0	771.0
820.0	805.0
785.0	812.0
711.0	808.0
970.0	798.0
1006.0	765.0
1082.0	756.0
1112.0	776.0
1087.0	793.0
1006.0	799.0
782.0	1118.0
811.0	1097.0
866.0	1090.0
892.0	1096.0
924.0	1090.0
981.0	1106.0
1021.0	1136.0
998.0	1189.0
954.0	1246.0
891.0	1270.0
834.0	1246.0
801.0	1194.0
